,a0,a1
0,15.736397,5.0757194
1,1.7001585,4.691739
2,2.92582,-16.182243
3,-7.4308333,2.078369
4,-3.6070487,0.7988559
5,-3.9849284,9.645695
6,3.6728435,-6.057576
7,2.954105,-11.548308
8,-1.5054063,-0.4267712
9,7.036572,8.240513
10,7.50103,10.74024
11,10.099091,6.134687
12,1.5513424,0.78277576
13,6.5221524,12.242624
14,9.2407465,-13.781604
15,1.5799717,-11.181001
16,-9.210762,-6.8435287
17,10.949649,5.40755
18,-7.1274796,5.6361966
19,12.669577,2.4626808
20,-6.195439,3.0153708
21,7.9667964,-14.708501
22,3.8590834,-3.028026
23,0.26601368,-12.733302
24,-0.9563578,-14.353467
25,-8.548325,4.6190305
26,5.059976,6.9765687
27,3.332273,0.67225194
28,3.2260275,0.5116371
29,11.20218,2.9483783
30,-3.5134764,-11.8085785
31,12.101437,8.99464
32,5.2007656,0.2493969
33,-3.7886906,-11.624754
34,-10.052012,3.7945216
35,-10.868019,3.3328059
36,2.6568503,-7.5116067
37,-6.8789444,-5.257847
38,-2.8849173,7.280431
39,-2.8241825,8.371084
40,-9.222296,1.0471803
41,-6.1701994,-9.784181
42,-3.70513,-4.7234173
43,-3.1630046,-1.7887642
44,-9.521245,8.707321
45,-4.620751,-4.721606
46,13.485807,0.41584796
47,0.13284968,-10.102696
48,0.42638853,-2.3126106
49,5.6814647,-15.53241
50,-13.17349,1.8624773
51,2.7707472,-10.033815
52,-1.3755718,-10.855935
53,3.7018225,4.8134246
54,0.2118252,-6.5156302
55,-5.4647446,-5.265359
56,15.545094,8.492626
57,4.50446,-7.6004605
58,11.069518,2.9327073
59,6.3842497,4.95305
60,-6.3678546,-5.858276
61,-2.3504744,-11.247694
62,-4.5119886,1.5848889
63,5.980485,1.9730407
64,2.9260728,-13.0589075
65,-5.5037403,-14.093079
66,-6.9166894,7.0073085
67,-2.0416427,0.7561356
68,7.8736925,3.437526
69,-13.283505,11.117995
70,-3.9736154,-13.849227
71,-3.2033362,-7.519958
72,7.2236605,-9.927434
73,3.870611,-3.0315206
74,3.4989316,0.5284285
75,-4.2569976,10.49427
76,4.886737,5.1595845
77,-6.6705213,-7.6021786
78,-8.115783,-10.361375
79,-3.234329,3.071101
80,-6.409605,-4.690322
81,5.1597586,-14.736075
82,5.209147,8.225451
83,3.6877344,-0.23017864
84,8.170663,-13.656947
85,-6.93601,2.4301615
86,-5.3983393,-5.579895
87,-13.843048,10.344297
88,7.337264,4.8787646
89,8.726772,-11.650003
90,-8.971023,4.440256
91,3.8812597,1.4030708
92,-7.674379,9.974293
93,-8.760344,2.5433445
94,7.3828654,9.259805
95,3.344124,5.0382586
96,-1.8153423,-7.7405286
97,-12.169466,11.540869
98,-8.311169,-6.3526373
99,16.445797,7.8762975
100,-0.3472917,-0.085813366
101,-6.980882,-7.5467877
102,4.6044674,-8.722353
103,2.8283052,1.784565
104,-7.0797286,-9.232471
105,15.0728,8.579807
106,14.649678,2.0432546
107,9.830675,4.563497
108,13.934404,1.6618091
109,-3.52248,5.72724
110,14.3292885,6.302572
111,13.201123,7.008694
112,-7.642952,-10.78237
113,9.014246,9.835243
114,2.8691301,-14.36069
115,13.775347,4.6243167
116,-10.113293,2.004108
117,-2.325749,-5.6631446
118,2.5060298,5.258735
119,1.2422438,-9.470038
120,-0.13956319,-5.6864843
121,-5.667186,-7.854763
122,2.9796762,4.058813
123,5.5734835,-15.02413
124,14.049091,-0.22792809
125,-5.6145153,4.8844147
126,-6.499179,-7.990847
127,-5.456081,5.191632
128,-4.928545,1.6538037
129,3.3111072,6.402084
130,-7.9638963,-0.37730068
131,-9.699002,3.2338755
132,-7.4347982,3.9002998
133,6.885068,8.195446
134,2.6899319,8.396981
135,6.870696,9.070613
136,10.6018505,4.817306
137,-0.40560818,0.098043576
138,3.847846,-13.229311
139,0.05596804,-11.180071
140,4.929947,3.2415705
141,7.7687097,9.766797
142,8.994156,10.562731
143,4.3915854,-15.328981
144,-9.419217,6.488503
145,8.117984,-12.905333
146,14.4235735,2.6172082
147,9.89732,6.1031837
148,7.9890437,2.8606844
149,-9.976618,7.4196973
150,-0.5162712,-5.5080605
151,-4.2959104,-6.0102887
152,-14.092088,4.4000874
153,-4.144807,4.40412
154,-12.749568,6.2736497
155,2.5304291,-2.3428311
156,10.517073,8.444204
157,7.2747755,0.078779794
158,-5.3386197,4.224729
159,1.7105551,9.807046
160,11.895373,5.6028385
161,13.398687,-0.86930156
162,3.5387115,-9.014141
163,-10.979161,1.5007063
164,10.621429,2.002901
165,-1.3679571,-6.0457687
166,1.8742346,-13.328
167,0.99376124,-9.360983
168,0.64546466,-0.26762226
169,-2.1193538,-7.854214
170,16.221798,5.5822663
171,5.9720507,5.394208
172,3.633244,5.8898883
173,15.697586,0.6156701
174,-0.19184065,-10.39722
175,3.324651,-9.086226
176,7.7460923,12.485249
177,9.675645,5.022449
178,3.9360986,13.009129
179,6.839449,1.4464498
180,-7.8573275,7.5536118
181,1.4623876,-9.283525
182,-5.7119846,-9.564597
183,-3.5263734,-5.79655
184,11.584337,3.6646829
185,-9.380406,0.5003952
186,-8.142601,5.174518
187,10.696568,9.284071
188,7.8373303,2.6142285
189,-7.333567,11.201247
190,-13.394999,7.041958
191,1.6997929,-3.6159034
192,16.82612,6.9389462
193,5.4344153,9.290304
194,-8.550366,5.671439
195,10.215801,4.362113
196,5.985883,5.500404
197,-13.834485,7.703279
198,-1.261802,1.6748188
199,3.514203,7.548557
200,-1.4462302,4.255987
201,11.334977,3.9424794
202,-12.264868,8.511578
203,8.160701,-12.132889
204,1.4902389,-15.389351
205,-9.411484,0.11228356
206,9.025787,5.080775
207,14.557782,4.5604763
208,-7.575703,9.135979
209,2.148717,-10.764393
210,13.835044,3.7133272
211,11.538378,1.0537621
212,-3.1586902,-1.8361151
213,-8.557891,6.3520446
214,-0.8972858,-10.965972
215,-5.4261727,1.6960833
216,10.267016,5.395269
217,15.04114,8.719916
218,13.249783,-0.38484317
219,-10.703619,5.6573033
220,2.8593614,-6.170295
221,6.3744545,8.411996
222,9.653349,10.772543
223,3.5672584,4.990747
224,5.033364,-12.864781
225,0.1507947,-14.274403
226,-9.158792,9.800282
227,-1.8980103,-0.9374981
228,1.4765528,1.2664112
229,2.3087828,2.520913
230,6.709229,-14.163182
231,-3.879627,-10.232577
232,2.754134,-2.338797
233,-2.118107,-3.9837272
234,-0.2753843,-5.3168416
235,1.2039243,-15.399777
236,4.2200933,-10.977818
237,-1.4621022,1.6926696
238,2.75698,-1.6575693
239,7.9668317,0.6507868
240,-1.8787447,-10.2012615
241,0.91921437,-5.308269
242,-11.8989105,1.8399588
243,-13.76004,10.452125
244,-4.8486423,2.734331
245,-3.729874,-10.51964
246,8.596804,-14.55341
247,4.743234,-9.868656
248,3.6697373,-10.67173
249,1.0102383,-8.231359
250,10.0121155,0.18318523
251,-6.068975,1.8843362
252,-3.6362338,-8.8267145
253,-2.79659,-10.285828
254,-4.454169,5.879784
255,-0.7003718,-6.624307
256,3.192304,3.1499772
257,5.5900545,-10.663368
258,7.8949804,1.2184405
259,-10.726437,0.061778158
260,-0.20715366,2.440732
261,-0.6977319,-5.8245764
262,-5.6965437,0.64841014
263,-5.6581903,1.7376399
264,-4.188073,-10.329548
265,-4.552115,-5.960978
266,-8.733534,0.7274796
267,-3.2308075,-11.808065
268,9.771097,9.3719225
269,12.109825,9.256473
270,2.4549267,-6.0082126
271,3.127247,-1.4172627
272,-3.2854018,-13.069309
273,-6.2493753,9.994138
274,-7.0567255,1.1426047
275,-6.5712852,4.8579407
276,-9.856211,4.2426505
277,5.7813997,0.25732946
278,8.701749,1.3301766
279,-3.779772,0.4424668
280,-4.1853375,-12.233506
281,-2.3985636,-9.7411375
282,2.9474542,-10.370305
283,8.851006,-14.149177
284,15.274296,2.5525033
285,-9.574272,7.83811
286,5.1693254,6.2873964
287,11.427866,7.111558
288,-2.9410284,-8.080273
289,0.072660595,-5.739456
290,5.7217436,5.0387797
291,-10.5526905,9.411387
292,-7.1140256,5.7217803
293,8.176046,2.0404494
294,1.5401387,1.132136
295,2.8146706,-6.5144773
296,-2.908485,-12.125412
297,-1.359322,2.1035805
298,-8.063759,7.493458
299,3.4384484,-9.677436
300,-5.3966117,6.413214
301,5.329102,8.197538
302,-6.957199,-0.44002095
303,-7.2138023,-8.622876
304,-8.295705,-7.8742404
305,-5.990103,-5.350369
306,-0.67269355,-7.2482915
307,-4.0250826,4.521469
308,-2.606222,1.4560037
309,7.031369,0.42104307
310,3.9494662,2.3519204
311,8.004674,7.526604
312,-6.772161,-6.360204
313,-3.3060548,2.6116862
314,16.935684,6.3584843
315,5.1287985,-14.656583
316,6.098584,-13.054619
317,-6.5016437,3.1218834
318,5.7478347,-12.786524
319,-14.428654,4.7568135
320,-7.1638484,-6.5158296
321,12.660848,6.570517
322,4.707428,5.755334
323,-6.2723556,2.8122523
324,-9.305342,1.9992433
325,6.2048683,3.9705694
326,5.4719863,-12.525955
327,-8.125555,10.453274
328,-5.247897,-6.2252336
329,-3.556859,2.1792579
330,3.3061504,-8.696878
331,-5.8159723,-0.06466628
332,4.0456953,-3.359015
333,-10.854248,2.8896472
334,-4.084254,-12.715601
335,2.862381,-0.534594
336,-10.600678,4.929747
337,-9.320045,-1.5836995
338,-14.000956,5.211157
339,-3.6272888,-4.824308
340,1.6292702,-2.98588
341,12.310828,8.357484
342,5.7532125,7.0832605
343,-13.148325,9.156002
344,-8.489676,-7.175236
345,-0.8096109,-12.462397
346,-0.6167211,0.470765
347,4.2558746,7.0095005
348,-3.6922653,-4.2438254
349,17.058338,6.620654
350,-2.890679,-3.6941543
351,14.364627,2.2845213
352,-8.221495,1.9606184
353,-0.9734109,-8.680971
354,8.5405855,3.4784596
355,2.7696185,6.2116
356,-4.492763,9.119987
357,-1.832344,7.2120957
358,-6.9419065,-9.158319
359,-10.115232,0.9198139
360,-7.5767045,-6.7546268
361,-1.3067515,-0.63987786
362,-8.334332,-0.55731016
363,1.9251676,-14.722768
364,7.7987385,-13.456488
365,8.5517,-12.650707
366,-3.4583144,3.1224504
367,5.565966,-1.2666312
368,1.3726248,-7.4641986
369,3.2917724,-11.202975
370,0.77944213,-2.593108
371,-12.149166,12.320344
372,2.04128,-9.710077
373,-1.3659589,-7.354864
374,5.3228436,0.18025175
375,9.207297,-13.362533
376,10.9439535,3.2900288
377,5.4504323,2.2503555
378,1.1688658,-7.8148766
379,2.2630324,10.410263
380,2.703496,6.9847574
381,4.0653768,-3.1612194
382,-10.875345,5.7582293
383,13.700684,10.005701
384,12.692193,6.613173
385,1.7393438,-10.6389675
386,16.324686,5.7725034
387,4.2657256,0.59062153
388,-0.04697018,-7.5789466
389,-5.5285897,-8.699775
390,-4.0300355,-5.801293
391,11.004944,-1.3597366
392,-2.103715,0.08130214
393,-1.9537928,1.191308
394,0.0092547275,-7.5943384
395,-6.0461946,-6.743126
396,-0.24471754,-4.7866035
397,3.7618837,8.722912
398,-3.6878152,-10.769385
399,-6.002581,0.65645266
400,0.51626647,-1.8589635
401,4.715038,6.162364
402,-6.3975677,-6.0670533
403,-0.4722712,-8.526615
404,2.4038246,5.90925
405,5.7062225,-10.786809
406,-7.8182693,-5.033065
407,-1.4473329,-13.999863
408,-9.820012,-4.41807
409,4.3715386,5.054483
410,1.3272178,-13.800575
411,-7.593981,9.291372
412,-8.26228,13.270772
413,13.390496,6.4796042
414,5.38781,-15.446477
415,-0.8175349,-0.98270535
416,6.7427154,8.502937
417,-6.296035,12.827684
418,-4.8039975,3.043368
419,-4.8818803,0.3044142
420,-7.7203217,3.5322418
421,8.026006,3.5035102
422,-7.566784,-4.859168
423,13.567285,8.178138
424,-3.7640338,-6.980057
425,-0.1743429,-12.140448
426,-13.304365,9.637667
427,-1.630273,-8.003441
428,-4.5715375,0.3179242
429,-5.6656156,8.232167
430,16.083586,4.685663
431,-3.5369747,4.5177236
432,14.1005,8.32412
433,2.5195084,-3.3469305
434,4.7799125,-15.142047
435,6.160939,-15.999606
436,7.808761,5.4352612
437,9.561454,0.7061772
438,-4.812115,-4.6306725
439,-2.0013494,-14.241511
440,0.40817106,12.710016
441,-7.6803164,7.1151414
442,6.3043733,1.8120191
443,-8.689055,-4.5306892
444,-1.1929328,-8.177578
445,-11.994545,1.8446891
446,-7.9869556,-8.122327
447,-6.7638116,0.692144
448,8.11863,3.1485782
449,16.48659,8.144941
450,-6.5037584,3.0181272
451,6.69619,0.3686468
452,-7.5365124,-5.7348456
453,-10.30768,-0.027771449
454,3.6866412,10.159781
455,-13.201196,6.052395
456,14.089473,2.104361
457,-6.3755455,-9.183899
458,-0.05200082,-1.1156652
459,-8.7731695,-8.698696
460,3.5155754,-12.899551
461,7.772709,-13.369698
462,-0.006803754,-1.8650503
463,-8.227752,6.6758337
464,-1.5935545,-6.412795
465,-0.94091046,-0.38620645
466,10.630503,8.13404
467,-0.114008114,0.43115637
468,4.0629387,-3.312085
469,3.6609316,11.826015
470,6.0766487,-13.284479
471,2.3563917,9.128044
472,-5.875409,-0.9624566
473,7.940445,-11.756657
474,0.5020531,2.0055437
475,-4.1876287,1.0777487
476,3.2151487,3.6576502
477,14.7876625,2.337892
478,-8.346581,-6.6648774
479,-2.8479047,4.476328
480,11.191026,3.7750642
481,3.2174227,7.2858825
482,3.7751248,11.487102
483,6.0253625,2.1449404
484,-4.2990303,6.815095
485,-13.864806,1.5060295
486,4.379488,4.9526863
487,15.631282,2.009807
488,-5.2465935,-9.907656
489,8.234882,3.0991879
490,9.5226965,8.838833
491,6.407919,4.618073
492,3.72443,-12.552953
493,-6.9387608,-6.726345
494,-8.087088,1.9014452
495,3.4869118,-10.690909
496,3.1565506,-13.526822
497,13.423793,3.801121
498,-3.1197448,-7.004923
499,2.329293,-7.3443832
500,-7.269573,9.254259
501,-11.643762,11.587098
502,12.846264,2.4217007
503,-7.9994783,1.219931
504,-4.937592,6.2782063
505,-5.6126943,-3.7869425
506,16.135017,2.5833676
507,12.006757,4.2224083
508,13.45955,8.616178
509,11.384318,1.1442008
510,-1.6093698,-11.1398
511,7.173357,-14.634385
512,-7.386899,-5.362115
513,1.5504937,-16.374292
514,-11.976837,2.2848365
515,15.274913,3.7942226
516,8.621525,-11.922557
517,-12.35904,1.9402341
518,-0.45061085,9.48017
519,-4.7139125,-12.3911085
520,-4.439936,-7.882116
521,4.4209194,7.8866854
522,-7.0031586,12.342049
523,-6.2727833,12.50159
524,2.9055936,-12.0792055
525,7.895783,8.031137
526,-8.991474,7.236183
527,6.2194524,-11.719222
528,2.9261024,13.444181
529,-7.842935,11.186059
530,-8.881235,4.5595784
531,15.981741,4.895029
532,3.8621297,-2.9562008
533,7.842975,-8.90448
534,-8.951188,0.23678823
535,7.271663,3.2425044
536,0.36006021,-6.990031
537,6.1668134,5.9198947
538,-11.082191,2.0243952
539,-3.1093864,1.6968294
540,12.208214,5.7236505
541,11.406722,9.774067
542,-4.979328,-11.443438
543,-3.6363742,-7.2630324
544,-6.349555,3.3647883
545,1.9825047,-10.362887
546,-1.6116797,-1.3132181
547,-6.4730973,5.5095396
548,-7.152955,-3.9640079
549,-10.320773,10.846476
550,-0.6650451,0.38957918
551,11.874168,1.3962746
552,-2.8374732,-4.7355237
553,-5.9998875,8.575891
554,2.3210335,-9.929924
555,-5.1600585,4.953938
556,2.79864,4.6109076
557,-10.832482,10.750386
558,-6.456687,11.42198
559,-5.0644317,4.417834
560,0.889205,-1.3817208
561,0.64514714,8.983009
562,4.433517,-9.922734
563,3.4821188,7.1066327
564,1.2317044,6.738706
565,11.554016,9.069888
566,-5.4462976,-8.578219
567,8.0555935,8.337014
568,5.5795875,-7.0922365
569,9.081151,1.2981589
570,7.3420477,9.529289
571,15.495184,2.1728816
572,-4.7811246,1.6947312
573,-2.1443706,-7.0956264
574,10.485782,0.8765567
575,-8.518963,1.5430015
576,-0.49923337,10.573111
577,10.777296,0.45350552
578,-3.020776,-11.264942
579,-5.2232404,10.590801
580,2.4378939,3.6857338
581,-9.716999,-6.770528
582,-0.4118334,-5.0564814
583,16.255331,5.395973
584,-1.2887822,-4.646924
585,2.0859833,9.016968
586,-13.829369,2.760245
587,-3.9763982,6.6251388
588,-8.156061,-6.593842
589,12.379449,1.9644477
590,-4.3698,-12.49138
591,6.6988835,1.0438566
592,11.772404,5.482044
593,-8.903836,8.597532
594,-2.546994,-8.390934
595,4.01717,-9.156536
596,-4.9671416,-8.432483
597,-7.684411,12.775577
598,-5.030813,-1.3908714
599,2.863377,-5.913159
600,-10.749443,3.3434098
601,-9.268624,2.1168814
602,-6.2540135,-7.414782
603,-0.24737181,6.540411
604,8.003602,8.415196
605,6.3522763,-13.695293
606,-6.369427,4.683034
607,-6.5643806,3.9476476
608,-5.2653666,-6.4833937
609,14.056476,8.514041
610,3.9207478,12.666775
611,2.9302096,2.7622225
612,7.914064,7.259296
613,2.8094904,-8.018965
614,1.0491341,-6.733853
615,2.70686,1.596432
616,-5.72983,6.4372997
617,-9.533145,8.128971
618,0.25166714,-2.059864
619,-2.6597266,2.6451726
620,-13.216097,7.2000966
621,-10.440186,1.4051677
622,-0.15994594,3.1041377
